Wavelength;Abs_001;Std.Dev_001;Abs_002;Std.Dev_002;Abs_004;Std.Dev_004;Abs_006;Std.Dev_006;Abs_008;Std.Dev_008;Abs_01;Std.Dev_01;Abs_03;Std.Dev_03;Abs_05;Std.Dev_05;Abs_08;Std.Dev_08;Abs_1;Std.Dev_1;Abs_2;Std.Dev_2;Abs_4;Std.Dev_4;Abs_6;Std.Dev_6;Abs_8;Std.Dev_8;Abs_acida;Std.Dev_acida;Abs_basica;Std.Dev_basica
190;0,176742;5,86E-02;0,162613;5,40E-02;5,58E-02;4,53E-02;1,46E-02;5,97E-02;0,121863;5,99E-02;8,24E-02;5,73E-02;1,44E-02;4,59E-02;6,49E-02;8,27E-02;0,170353;6,55E-02;2,60E-02;7,00E-02;0,218025;4,74E-02;0,153756;4,61E-02;0,100081;5,07E-02;0,202161;6,33E-02;7,88E-02;5,11E-02;0,178005;5,10E-02
191;3,97E-02;5,17E-02;9,12E-02;4,82E-02;0,10205;4,55E-02;9,79E-02;5,10E-02;0,100648;5,96E-02;1,70E-02;6,58E-02;2,92E-02;5,26E-02;0,126787;6,05E-02;6,87E-02;6,18E-02;0,225546;5,36E-02;-3,17E-03;5,57E-02;-1,80E-03;5,87E-02;9,70E-02;5,44E-02;8,23E-02;6,58E-02;2,59E-02;5,81E-02;9,35E-02;5,79E-02
192;8,32E-02;5,61E-02;2,25E-02;4,47E-02;0,141007;5,29E-02;7,79E-02;5,07E-02;4,84E-02;5,82E-02;5,93E-02;5,78E-02;6,08E-02;4,83E-02;2,15E-02;4,99E-02;0,187954;4,19E-02;2,83E-02;4,84E-02;7,03E-02;4,76E-02;0,149584;5,87E-02;7,76E-02;5,85E-02;0,13114;4,83E-02;3,01E-02;4,63E-02;3,65E-02;6,89E-02
193;6,55E-02;4,50E-02;4,83E-02;4,59E-02;0,101936;4,72E-02;2,25E-02;6,07E-02;2,22E-02;7,36E-02;4,03E-02;4,85E-02;-2,54E-02;6,53E-02;7,20E-04;6,05E-02;-6,46E-02;5,24E-02;1,48E-02;6,61E-02;-9,19E-02;5,95E-02;8,09E-02;6,16E-02;0,184395;5,03E-02;5,28E-02;6,48E-02;4,00E-02;4,41E-02;4,80E-02;8,40E-02
194;2,71E-02;3,80E-02;8,95E-02;4,95E-02;0,107439;4,05E-02;0,106355;4,45E-02;0,12124;5,74E-02;6,46E-02;4,64E-02;0,121056;5,08E-02;6,06E-02;4,20E-02;6,54E-02;7,89E-02;3,46E-02;4,75E-02;0,156211;6,29E-02;2,67E-02;7,96E-02;6,75E-02;4,49E-02;3,00E-02;6,68E-02;4,71E-02;5,04E-02;0,121452;7,82E-02
195;2,41E-02;3,95E-02;2,20E-02;4,70E-02;-6,99E-02;4,31E-02;8,64E-02;4,95E-02;0,158352;5,03E-02;2,32E-02;6,05E-02;0,13636;4,41E-02;-1,05E-02;4,49E-02;8,99E-02;7,38E-02;1,97E-02;4,29E-02;0,102177;5,33E-02;0,131519;6,20E-02;5,04E-02;5,86E-02;0,150729;6,44E-02;1,98E-02;6,29E-02;8,65E-02;6,83E-02
196;2,36E-02;5,59E-02;6,72E-03;5,89E-02;-4,04E-02;5,39E-02;6,56E-02;5,89E-02;7,32E-02;5,20E-02;0,119397;8,19E-02;2,28E-02;5,43E-02;4,40E-02;5,41E-02;0,105244;8,01E-02;0,131812;5,90E-02;5,07E-02;6,93E-02;4,00E-03;5,85E-02;8,28E-02;8,05E-02;0,124177;6,25E-02;2,95E-02;5,85E-02;2,31E-02;5,74E-02
197;1,62E-02;7,22E-02;7,91E-02;6,31E-02;9,32E-03;6,01E-02;7,36E-02;5,48E-02;0,119123;5,95E-02;0,171372;8,29E-02;-4,98E-03;6,49E-02;-1,41E-02;5,75E-02;0,169342;5,42E-02;2,38E-02;7,32E-02;0,191565;5,40E-02;0,10616;5,65E-02;8,18E-02;7,56E-02;5,34E-02;7,33E-02;-4,48E-03;5,71E-02;0,105041;6,67E-02
198;6,36E-02;5,93E-02;9,47E-02;6,79E-02;6,51E-02;6,44E-02;-2,40E-02;6,92E-02;4,39E-02;5,85E-02;9,14E-02;7,08E-02;2,42E-02;5,91E-02;3,99E-02;6,47E-02;5,40E-03;5,66E-02;0,142304;7,46E-02;5,06E-02;5,93E-02;1,82E-02;6,50E-02;0,129937;7,50E-02;7,06E-02;6,49E-02;3,68E-02;6,21E-02;0,172991;6,18E-02
199;-2,60E-02;9,57E-02;-1,73E-02;9,54E-02;9,08E-02;0,110399;4,13E-02;0,109464;-5,22E-03;9,64E-02;6,51E-02;0,112137;-1,25E-02;9,91E-02;2,90E-03;0,123841;3,94E-02;0,101033;2,46E-02;0,106647;0,15257;9,85E-02;4,41E-02;0,106595;3,58E-02;9,95E-02;3,69E-02;0,114915;2,81E-02;9,94E-02;7,41E-03;0,106131
